CustomerID,Churn,Recency,Frequency,Monetary,AvgPrice
12346.0,1,225,12,77556.46,6.1000000000000005
12347.0,0,29,6,3402.3900000000003,2.562621951219512
12348.0,0,148,4,1709.4,3.1374999999999997
12349.0,0,307,3,2671.14,8.581764705882353
12352.0,0,162,7,1905.61,19.601428571428574
12353.0,1,104,2,406.76,2.6283333333333334
12355.0,1,114,2,947.61,3.069428571428572
12356.0,0,145,5,6313.38,3.032857142857143
12357.0,0,288,2,12079.99,8.458424242424242
12358.0,1,50,4,3203.87,4.982285714285714
12359.0,0,89,9,6059.09,7.256461538461538
12360.0,0,12,7,3209.11,3.1225766871165646
12361.0,1,187,4,511.25,3.8706896551724137
12362.0,0,20,5,1877.35,4.168396226415094
12363.0,1,9,2,552.0,2.3117391304347827
12365.0,1,191,2,641.38,17.150454545454547
12369.0,1,313,3,1791.15,3.148924731182796
12370.0,0,174,6,3577.28,3.4981502890173406
12371.0,0,309,3,2179.42,4.05625
12372.0,0,112,2,914.9200000000001,2.9382051282051282
12373.0,1,211,3,1127.65,4.627450980392157
12374.0,0,321,3,2246.29,2.9894
12376.0,1,289,2,503.15,8.03076923076923
12377.0,1,215,4,3426.32,2.7402631578947365
12378.0,1,29,2,5416.32,3.380099667774086
12379.0,0,70,3,1227.82,3.0293442622950817
12380.0,0,85,8,7559.04,11.884784688995216
12383.0,1,84,5,1850.56,3.086969696969697
12386.0,1,237,2,401.9,2.391
12388.0,0,48,6,2788.79,2.9089655172413793
12389.0,1,302,3,1433.33,2.6542857142857144
12391.0,0,364,5,2285.18,4.521896551724137
12393.0,0,145,5,1877.95,2.5658536585365854
12395.0,0,12,11,3602.11,3.500054945054945
12399.0,1,19,7,1962.3,2.0414545454545454
12402.0,1,223,6,1256.9,3.3049999999999997
12406.0,0,83,4,4596.31,2.7996363636363633
12407.0,0,34,4,1407.3600000000001,3.0053125
12408.0,0,75,6,2943.99,3.134873949579832
12409.0,0,82,5,18553.7,3.2066210045662102
12410.0,1,208,3,1013.71,6.01475
12412.0,0,37,5,2260.79,2.464954954954955
12413.0,0,136,3,805.25,6.364146341463415
12414.0,1,117,6,952.41,16.35
12415.0,0,13,20,118690.0,2.9995641344956416
12417.0,0,6,18,5964.83,5.3929846153846155
12418.0,1,12,4,2021.2,3.3453921568627454
12419.0,1,285,2,503.01,5.0436000000000005
12421.0,0,14,5,920.12,4.674642857142857
12422.0,0,68,16,5084.1,10.585670731707317
12423.0,1,0,9,2413.75,3.093716216216216
12424.0,1,62,4,3340.03,2.1891304347826086
12426.0,1,94,2,1345.21,3.5572727272727276
12428.0,0,20,8,7548.12,4.559784946236559
12429.0,0,72,7,5298.89,3.449761904761905
12431.0,0,19,23,8819.34,3.7771764705882354
12432.0,0,70,3,4016.66,13.785657894736843
12433.0,0,266,5,7205.39,2.0148951048951047
12434.0,0,160,2,583.54,4.272777777777778
12435.0,0,167,5,10075.03,3.606526315789474
12437.0,0,77,30,10208.72,3.2130309734513274
12439.0,1,582,2,1142.88,3.706478873239437
12440.0,1,362,2,859.2,5.448125
12444.0,0,21,2,2627.27,6.062857142857143
12449.0,0,29,4,2405.48,3.7076288659793812
12450.0,1,56,5,688.2,2.227837837837838
12451.0,0,118,5,8942.18,2.2287215909090907
12454.0,0,295,4,13151.44,11.5824
12455.0,0,27,9,5589.45,4.062067307692308
12456.0,0,31,2,2265.4,3.8198837209302323
12457.0,0,133,4,1699.93,6.805531914893617
12458.0,0,184,3,1272.01,3.7309230769230766
12463.0,0,75,3,985.79,2.9331147540983604
12464.0,0,6,6,780.55,11.254761904761905
12468.0,1,87,5,3670.74,2.7754
12469.0,1,422,2,3070.54,2.999605263157895
12471.0,0,7,68,31210.54,3.5105650319829422
12472.0,0,38,17,14604.78,2.4097603195739015
12473.0,0,14,2,1175.75,2.6946875
12474.0,0,37,25,8945.039999999999,3.0628994082840237
12476.0,0,41,18,10459.16,4.423442211055276
12477.0,0,0,6,15890.66,4.0897840172786175
12480.0,0,43,6,4328.17,3.3385148514851486
12481.0,0,79,13,10690.95,4.03215625
12482.0,1,476,29,23691.4,9.930196078431372
12483.0,0,83,16,3926.81,6.6748039215686275
12484.0,0,0,10,5485.43,2.9654411764705886
12490.0,0,0,16,6922.48,2.9315882352941176
12492.0,0,5,2,578.39,3.4819354838709677
12493.0,1,65,2,433.74,4.309090909090909
12494.0,0,61,7,1438.03,4.079756097560975
12496.0,1,520,2,45.34,1.927
